rank,field,years_since,years_service,sex,salary
Prof,Applied,19,18,Male,139750
Prof,Applied,20,16,Male,173200
AsstProf,Applied,4,3,Male,79750
Prof,Applied,45,39,Male,115000
Prof,Applied,40,41,Male,141500
AssocProf,Applied,6,6,Male,97000
Prof,Applied,30,23,Male,175000
Prof,Applied,45,45,Male,147765
Prof,Applied,21,20,Male,119250
Prof,Applied,18,18,Female,129000
AssocProf,Applied,12,8,Male,119800
AsstProf,Applied,7,2,Male,79800
AsstProf,Applied,1,1,Male,77700
AsstProf,Applied,2,0,Male,78000
Prof,Applied,20,18,Male,104800
Prof,Applied,12,3,Male,117150
Prof,Applied,19,20,Male,101000
Prof,Theoretical,38,34,Male,103450
Prof,Theoretical,37,23,Male,124750
Prof,Theoretical,39,36,Female,137000
Prof,Theoretical,31,26,Male,89565
Prof,Theoretical,36,31,Male,102580
Prof,Theoretical,34,30,Male,93904
Prof,Theoretical,24,19,Male,113068
AssocProf,Theoretical,13,8,Female,74830
Prof,Theoretical,21,8,Male,106294
Prof,Theoretical,35,23,Male,134885
AsstProf,Applied,5,3,Male,82379
AsstProf,Applied,11,0,Male,77000
Prof,Applied,12,8,Male,118223
Prof,Applied,20,4,Male,132261
AsstProf,Applied,7,2,Male,79916
Prof,Applied,13,9,Male,117256
AsstProf,Applied,4,2,Male,80225
AsstProf,Applied,4,2,Female,80225
AsstProf,Applied,5,0,Female,77000
Prof,Applied,22,21,Male,155750
AsstProf,Applied,7,4,Male,86373
Prof,Applied,41,31,Male,125196
AssocProf,Applied,9,9,Male,100938
Prof,Applied,23,2,Male,146500
AssocProf,Applied,23,23,Male,93418
Prof,Applied,40,27,Male,101299
Prof,Applied,38,38,Male,231545
Prof,Applied,19,19,Male,94384
Prof,Applied,25,15,Male,114778
Prof,Applied,40,28,Male,98193
Prof,Applied,23,19,Female,151768
Prof,Applied,25,25,Female,140096
AsstProf,Applied,1,1,Male,70768
Prof,Applied,28,28,Male,126621
Prof,Applied,12,11,Male,108875
AsstProf,Applied,11,3,Female,74692
Prof,Applied,16,9,Male,106639
AssocProf,Applied,12,11,Male,103760
AssocProf,Applied,14,5,Male,83900
Prof,Applied,23,21,Male,117704
AssocProf,Applied,9,8,Male,90215
AssocProf,Applied,10,9,Male,100135
AsstProf,Applied,8,3,Male,75044
AssocProf,Applied,9,8,Male,90304
AsstProf,Applied,3,2,Male,75243
Prof,Applied,33,31,Male,109785
AssocProf,Applied,11,11,Female,103613
AsstProf,Applied,4,3,Male,68404
AssocProf,Applied,9,8,Male,100522
Prof,Applied,22,12,Male,101000
Prof,Applied,35,31,Male,99418
Prof,Applied,17,17,Female,111512
Prof,Applied,28,36,Male,91412
Prof,Applied,17,2,Male,126320
Prof,Applied,45,45,Male,146856
Prof,Applied,29,19,Male,100131
Prof,Applied,35,34,Male,92391
Prof,Applied,28,23,Male,113398
AsstProf,Applied,8,3,Male,73266
Prof,Applied,17,3,Male,150480
Prof,Applied,26,19,Male,193000
AsstProf,Applied,3,1,Male,86100
AsstProf,Applied,6,2,Male,84240
Prof,Applied,43,28,Male,150743
Prof,Applied,17,16,Male,135585
Prof,Applied,22,20,Male,144640
AsstProf,Applied,6,2,Male,88825
Prof,Applied,17,18,Female,122960
Prof,Applied,15,14,Male,132825
Prof,Applied,37,37,Male,152708
AsstProf,Applied,2,2,Male,88400
Prof,Applied,25,25,Male,172272
AssocProf,Applied,9,7,Male,107008
AsstProf,Applied,10,5,Female,97032
AssocProf,Applied,10,7,Male,105128
AssocProf,Applied,10,7,Male,105631
Prof,Applied,38,38,Male,166024
Prof,Applied,21,20,Male,123683
AsstProf,Applied,4,0,Male,84000
AssocProf,Applied,17,12,Male,95611
Prof,Applied,13,7,Male,129676
Prof,Applied,30,14,Male,102235
Prof,Applied,41,26,Male,106689
Prof,Applied,42,25,Male,133217
Prof,Applied,28,23,Male,126933
Prof,Applied,16,5,Male,153303
Prof,Applied,20,14,Female,127512
AssocProf,Theoretical,18,10,Male,83850
Prof,Theoretical,31,28,Male,113543
AssocProf,Theoretical,11,8,Male,82099
AssocProf,Theoretical,10,8,Male,82600
AssocProf,Theoretical,15,8,Male,81500
Prof,Theoretical,40,31,Male,131205
Prof,Theoretical,20,16,Male,112429
AssocProf,Theoretical,19,16,Male,82100
AsstProf,Theoretical,3,1,Male,72500
Prof,Theoretical,37,37,Male,104279
Prof,Theoretical,12,0,Female,105000
Prof,Theoretical,21,9,Male,120806
Prof,Theoretical,30,29,Male,148500
Prof,Theoretical,39,36,Male,117515
AsstProf,Theoretical,4,1,Male,72500
AsstProf,Theoretical,5,3,Female,73500
Prof,Theoretical,14,14,Male,115313
Prof,Theoretical,32,32,Male,124309
Prof,Theoretical,24,22,Male,97262
AssocProf,Theoretical,25,22,Female,62884
Prof,Theoretical,24,22,Male,96614
Prof,Theoretical,54,49,Male,78162
Prof,Theoretical,28,26,Male,155500
AsstProf,Theoretical,2,0,Female,72500
Prof,Theoretical,32,30,Male,113278
AsstProf,Theoretical,4,2,Male,73000
AssocProf,Theoretical,11,9,Male,83001
Prof,Theoretical,56,57,Male,76840
AssocProf,Theoretical,10,8,Female,77500
AsstProf,Theoretical,3,1,Female,72500
Prof,Theoretical,35,25,Male,168635
Prof,Theoretical,20,18,Male,136000
Prof,Theoretical,16,14,Male,108262
Prof,Theoretical,17,14,Male,105668
AssocProf,Theoretical,10,7,Male,73877
Prof,Theoretical,21,18,Male,152664
AssocProf,Theoretical,14,8,Male,100102
AssocProf,Theoretical,15,10,Male,81500
Prof,Theoretical,19,11,Male,106608
AsstProf,Applied,3,3,Male,89942
Prof,Applied,27,27,Male,112696
Prof,Applied,28,28,Male,119015
AsstProf,Applied,4,4,Male,92000
Prof,Applied,27,27,Male,156938
Prof,Applied,36,26,Female,144651
AsstProf,Applied,4,3,Male,95079
Prof,Applied,14,12,Male,128148
AsstProf,Applied,4,4,Male,92000
Prof,Applied,21,9,Male,111168
AssocProf,Applied,12,10,Female,103994
AsstProf,Applied,4,0,Male,92000
Prof,Applied,21,21,Male,118971
AssocProf,Applied,12,18,Male,113341
AsstProf,Applied,1,0,Male,88000
AssocProf,Applied,6,6,Male,95408
Prof,Applied,15,16,Male,137167
AsstProf,Applied,2,2,Male,89516
Prof,Applied,26,19,Male,176500
AssocProf,Applied,22,7,Male,98510
AsstProf,Applied,3,3,Male,89942
AsstProf,Applied,1,0,Male,88795
Prof,Applied,21,8,Male,105890
Prof,Applied,16,16,Male,167284
Prof,Applied,18,19,Male,130664
AssocProf,Applied,8,6,Male,101210
Prof,Applied,25,18,Male,181257
AsstProf,Applied,5,5,Male,91227
Prof,Applied,19,19,Male,151575
Prof,Applied,37,24,Male,93164
Prof,Applied,20,20,Male,134185
AssocProf,Applied,17,6,Male,105000
Prof,Applied,28,25,Male,111751
AssocProf,Applied,10,7,Male,95436
AssocProf,Applied,13,9,Male,100944
Prof,Applied,27,14,Male,147349
AsstProf,Applied,3,3,Female,92000
Prof,Applied,11,11,Male,142467
Prof,Applied,18,5,Male,141136
AssocProf,Applied,8,8,Male,100000
Prof,Applied,26,22,Male,150000
Prof,Applied,23,23,Male,101000
Prof,Applied,33,30,Male,134000
AssocProf,Applied,13,10,Female,103750
Prof,Applied,18,10,Male,107500
AssocProf,Applied,28,28,Male,106300
Prof,Applied,25,19,Male,153750
Prof,Applied,22,9,Male,180000
Prof,Applied,43,22,Male,133700
Prof,Applied,19,18,Male,122100
AssocProf,Applied,19,19,Male,86250
AssocProf,Applied,48,53,Male,90000
AssocProf,Applied,9,7,Male,113600
AsstProf,Applied,4,4,Male,92700
AsstProf,Applied,4,4,Male,92000
Prof,Applied,34,33,Male,189409
Prof,Applied,38,22,Male,114500
AsstProf,Applied,4,4,Male,92700
Prof,Applied,40,40,Male,119700
Prof,Applied,28,17,Male,160400
Prof,Applied,17,17,Male,152500
Prof,Applied,19,5,Male,165000
Prof,Applied,21,2,Male,96545
Prof,Applied,35,33,Male,162200
Prof,Applied,18,18,Male,120000
AsstProf,Applied,7,2,Male,91300
Prof,Applied,20,20,Male,163200
AsstProf,Applied,4,3,Male,91000
Prof,Applied,39,39,Male,111350
Prof,Applied,15,7,Male,128400
Prof,Applied,26,19,Male,126200
AssocProf,Applied,11,1,Male,118700
Prof,Applied,16,11,Male,145350
Prof,Applied,15,11,Male,146000
AssocProf,Applied,29,22,Male,105350
AssocProf,Applied,14,7,Female,109650
Prof,Applied,13,11,Male,119500
Prof,Applied,21,21,Male,170000
Prof,Applied,23,10,Male,145200
AssocProf,Applied,13,6,Male,107150
Prof,Applied,34,20,Male,129600
Prof,Theoretical,38,35,Male,87800
Prof,Theoretical,20,20,Male,122400
AsstProf,Theoretical,3,1,Male,63900
AssocProf,Theoretical,9,7,Male,70000
Prof,Theoretical,16,11,Male,88175
Prof,Theoretical,39,38,Male,133900
Prof,Theoretical,29,27,Female,91000
AssocProf,Theoretical,26,24,Female,73300
Prof,Theoretical,38,19,Male,148750
Prof,Theoretical,36,19,Female,117555
AsstProf,Theoretical,8,3,Male,69700
Prof,Theoretical,28,17,Male,81700
Prof,Theoretical,25,25,Male,114000
AsstProf,Theoretical,7,6,Female,63100
Prof,Theoretical,46,40,Male,77202
Prof,Theoretical,19,6,Male,96200
AsstProf,Theoretical,5,3,Male,69200
Prof,Theoretical,31,30,Male,122875
Prof,Theoretical,38,37,Male,102600
Prof,Theoretical,23,23,Male,108200
Prof,Theoretical,19,23,Male,84273
Prof,Theoretical,17,11,Female,90450
Prof,Theoretical,30,23,Male,91100
Prof,Theoretical,21,18,Male,101100
Prof,Theoretical,28,23,Male,128800
Prof,Theoretical,29,7,Male,204000
Prof,Theoretical,39,39,Male,109000
Prof,Theoretical,20,8,Male,102000
Prof,Theoretical,31,12,Male,132000
AsstProf,Theoretical,4,2,Female,77500
Prof,Theoretical,28,7,Female,116450
AssocProf,Theoretical,12,8,Male,83000
Prof,Theoretical,22,22,Male,140300
AssocProf,Theoretical,30,23,Male,74000
AsstProf,Theoretical,9,3,Male,73800
Prof,Theoretical,32,30,Male,92550
AssocProf,Theoretical,41,33,Male,88600
Prof,Theoretical,45,45,Male,107550
Prof,Theoretical,31,26,Male,121200
Prof,Theoretical,31,31,Male,126000
Prof,Theoretical,37,35,Male,99000
Prof,Theoretical,36,30,Male,134800
Prof,Theoretical,43,43,Male,143940
Prof,Theoretical,14,10,Male,104350
Prof,Theoretical,47,44,Male,89650
Prof,Theoretical,13,7,Male,103700
Prof,Theoretical,42,40,Male,143250
Prof,Theoretical,42,18,Male,194800
AsstProf,Theoretical,4,1,Male,73000
AsstProf,Theoretical,8,4,Male,74000
AsstProf,Theoretical,8,3,Female,78500
Prof,Theoretical,12,6,Male,93000
Prof,Theoretical,52,48,Male,107200
Prof,Theoretical,31,27,Male,163200
Prof,Theoretical,24,18,Male,107100
Prof,Theoretical,46,46,Male,100600
Prof,Theoretical,39,38,Male,136500
Prof,Theoretical,37,27,Male,103600
Prof,Theoretical,51,51,Male,57800
Prof,Theoretical,45,43,Male,155865
AssocProf,Theoretical,8,6,Male,88650
AssocProf,Theoretical,49,49,Male,81800
Prof,Theoretical,28,27,Male,115800
AsstProf,Theoretical,2,0,Male,85000
Prof,Theoretical,29,27,Male,150500
AsstProf,Theoretical,8,5,Male,74000
Prof,Theoretical,33,7,Male,174500
Prof,Theoretical,32,28,Male,168500
Prof,Theoretical,39,9,Male,183800
AssocProf,Theoretical,11,1,Male,104800
Prof,Theoretical,19,7,Male,107300
Prof,Theoretical,40,36,Male,97150
Prof,Theoretical,18,18,Male,126300
Prof,Theoretical,17,11,Male,148800
Prof,Theoretical,49,43,Male,72300
AssocProf,Theoretical,45,39,Male,70700
Prof,Theoretical,39,36,Male,88600
Prof,Theoretical,27,16,Male,127100
Prof,Theoretical,28,13,Male,170500
Prof,Theoretical,14,4,Male,105260
Prof,Theoretical,46,44,Male,144050
Prof,Theoretical,33,31,Male,111350
AsstProf,Theoretical,7,4,Male,74500
Prof,Theoretical,31,28,Male,122500
AsstProf,Theoretical,5,0,Male,74000
Prof,Theoretical,22,15,Male,166800
Prof,Theoretical,20,7,Male,92050
Prof,Theoretical,14,9,Male,108100
Prof,Theoretical,29,19,Male,94350
Prof,Theoretical,35,35,Male,100351
Prof,Theoretical,22,6,Male,146800
AsstProf,Applied,6,3,Male,84716
AssocProf,Applied,12,9,Female,71065
Prof,Applied,46,45,Male,67559
Prof,Applied,16,16,Male,134550
Prof,Applied,16,15,Male,135027
Prof,Applied,24,23,Male,104428
AssocProf,Applied,9,9,Male,95642
AssocProf,Applied,13,11,Male,126431
Prof,Applied,24,15,Female,161101
Prof,Applied,30,31,Male,162221
AsstProf,Applied,8,4,Male,84500
Prof,Applied,23,15,Male,124714
Prof,Applied,37,37,Male,151650
AssocProf,Applied,10,10,Male,99247
Prof,Applied,23,23,Male,134778
Prof,Applied,49,60,Male,192253
Prof,Applied,20,9,Male,116518
Prof,Applied,18,10,Female,105450
Prof,Applied,33,19,Male,145098
AssocProf,Applied,19,6,Female,104542
Prof,Applied,36,38,Male,151445
Prof,Applied,35,23,Male,98053
Prof,Applied,13,12,Male,145000
Prof,Applied,32,25,Male,128464
Prof,Applied,37,15,Male,137317
Prof,Applied,13,11,Male,106231
Prof,Applied,17,17,Female,124312
Prof,Applied,38,38,Male,114596
Prof,Applied,31,31,Male,162150
Prof,Applied,32,35,Male,150376
Prof,Applied,15,10,Male,107986
Prof,Applied,41,27,Male,142023
Prof,Applied,39,33,Male,128250
AsstProf,Applied,4,3,Male,80139
Prof,Applied,27,28,Male,144309
Prof,Applied,56,49,Male,186960
Prof,Applied,38,38,Male,93519
Prof,Applied,26,27,Male,142500
Prof,Applied,22,20,Male,138000
AsstProf,Applied,8,1,Male,83600
Prof,Applied,25,21,Male,145028
Prof,Theoretical,49,40,Male,88709
Prof,Theoretical,39,35,Male,107309
Prof,Theoretical,28,14,Female,109954
AsstProf,Theoretical,11,4,Male,78785
Prof,Theoretical,14,11,Male,121946
Prof,Theoretical,23,15,Female,109646
Prof,Theoretical,30,30,Male,138771
AssocProf,Theoretical,20,17,Male,81285
Prof,Theoretical,43,43,Male,205500
Prof,Theoretical,43,40,Male,101036
Prof,Theoretical,15,10,Male,115435
AssocProf,Theoretical,10,1,Male,108413
Prof,Theoretical,35,30,Male,131950
Prof,Theoretical,33,31,Male,134690
AssocProf,Theoretical,13,8,Male,78182
Prof,Theoretical,23,20,Male,110515
Prof,Theoretical,12,7,Male,109707
Prof,Theoretical,30,26,Male,136660
Prof,Theoretical,27,19,Male,103275
Prof,Theoretical,28,26,Male,103649
AsstProf,Theoretical,4,1,Male,74856
AsstProf,Theoretical,6,3,Male,77081
Prof,Theoretical,38,38,Male,150680
AssocProf,Theoretical,11,8,Male,104121
AsstProf,Theoretical,8,3,Male,75996
Prof,Theoretical,27,23,Male,172505
AssocProf,Theoretical,8,5,Male,86895
Prof,Theoretical,44,44,Male,105000
Prof,Theoretical,27,21,Male,125192
Prof,Theoretical,15,9,Male,114330
Prof,Theoretical,29,27,Male,139219
Prof,Theoretical,29,15,Male,109305
Prof,Theoretical,38,36,Male,119450
Prof,Theoretical,33,18,Male,186023
Prof,Theoretical,40,19,Male,166605
Prof,Theoretical,30,19,Male,151292
Prof,Theoretical,33,30,Male,103106
Prof,Theoretical,31,19,Male,150564
Prof,Theoretical,42,25,Male,101738
Prof,Theoretical,25,15,Male,95329
AsstProf,Theoretical,8,4,Male,81035